Imputation Iteration #,RMSE,R,AUC,Top1,R2,Imputation Type
2,1.4463664552879294,0.5886609886288882,0.8942539305640724,0.47757507718214987,0.34940543807137436,Median Good Only Ensemble
2,1.4327875323428638,0.5972945631266011,0.8957677366594066,0.47751894470951445,0.3222276244120754,Median Good Only Ensemble
2,1.4405210041015686,0.5909672467201861,0.8966066304021202,0.47791187201796237,0.3340143002970051,Median Good Only Ensemble
2,1.4397788692100568,0.5903673692913801,0.8986329342718338,0.47403873140611846,0.3411237111118133,Median Good Only Ensemble
2,1.438572292355824,0.5920978295543031,0.8971368883400455,0.4730844793713163,0.3620734027570722,Median Good Only Ensemble
1,1.501974794461231,0.5893851365799082,0.8942589166725082,0.4675273645804098,0.26471635479991673,Max Ensemble
1,1.503615646768566,0.5833225856196133,0.8963758649171286,0.4742071288240247,0.29856832191654126,Max Ensemble
1,1.5078344055931274,0.5816253290040082,0.8917206138064381,0.4744877911872018,0.25397733216416385,Max Ensemble
1,1.5032791942168657,0.5928056053346887,0.8944389390350518,0.4762840303115352,0.26802307845406137,Max Ensemble
1,1.5191892081311476,0.5838631899698246,0.8909053235934039,0.47403873140611846,0.24851506736912743,Max Ensemble
1,1.4831527518098822,0.5925603938508238,0.8951324035811096,0.47140050519225374,0.30386591955750253,Max Good Only Ensemble
1,1.4833205055887508,0.5900250004055259,0.8953486811926084,0.4816166152119001,0.31298628683072494,Max Good Only Ensemble
1,1.4806363042460067,0.5888228572347907,0.8988311443248579,0.48184114510244175,0.30959275752532467,Max Good Only Ensemble
1,1.5056225828649306,0.5845542706108544,0.898787366714593,0.4839741790625877,0.27310309481144657,Max Good Only Ensemble
1,1.4983731422633542,0.5766640264884374,0.897646770654509,0.4790906539433062,0.27231735073804386,Max Good Only Ensemble
1,3.113426069829168,0.4233081312729569,0.8957622760973789,0.4603424080830761,-2.6613704372670823,Min Ensemble
1,3.162771592521797,0.41962090050040235,0.8946415722210305,0.44917204602862754,-2.9633104665290966,Min Ensemble
1,3.190971367473477,0.4125318390205095,0.8992330514215786,0.45832163906820095,-1.978142739638284,Min Ensemble
1,3.1409550484642117,0.42956954795111785,0.8978931714723477,0.4556272803817008,-1.9810135416958299,Min Ensemble
1,3.0830920515135163,0.41864379426783754,0.8993879450868804,0.4609598652820657,-1.7959157927231102,Min Ensemble
1,1.5272333832115907,0.5866529465328095,0.8986409180874277,0.48414257648049397,0.26850611720463513,Min Good Only Ensemble
1,1.5003731218247507,0.5925650897757088,0.8924211762459109,0.47431939376929555,0.33308193897303084,Min Good Only Ensemble
1,1.5112686801692925,0.5872362903718991,0.895488824506899,0.47572270558518104,0.19350012772275071,Min Good Only Ensemble
1,1.525250958920668,0.5859913147204131,0.8972903847322733,0.4734212742071288,0.2007794673337001,Min Good Only Ensemble
1,1.526093669081627,0.5856158912668001,0.8981749157553208,0.4769576199831603,0.1936145371530258,Min Good Only Ensemble
